epoch,train_srcc,test_srcc,best_srcc,rl2
558,0.9661,0.7036,0.8398,0.6270
559,0.9667,0.7275,0.8398,0.6190
560,0.9647,0.7069,0.8398,0.6256
561,0.9612,0.7349,0.8398,0.6558
562,0.9683,0.7094,0.8398,0.6169
563,0.9654,0.7210,0.8398,0.6226
564,0.9614,0.6994,0.8398,0.6121
565,0.9627,0.7249,0.8398,0.6552
566,0.9639,0.7126,0.8398,0.6006
567,0.9628,0.7244,0.8398,0.6391
568,0.9681,0.7084,0.8398,0.6431
569,0.9669,0.7334,0.8398,0.6218
570,0.9643,0.7027,0.8398,0.6298
571,0.9618,0.7457,0.8398,0.6611
572,0.9601,0.7021,0.8398,0.6094
573,0.9709,0.7332,0.8398,0.6396
574,0.9715,0.7377,0.8398,0.6216
575,0.9686,0.7301,0.8398,0.6341
576,0.9621,0.7269,0.8398,0.6229
577,0.9652,0.7019,0.8398,0.6309
578,0.9636,0.7126,0.8398,0.6203
579,0.9681,0.7134,0.8398,0.6347
580,0.9630,0.7170,0.8398,0.6115
581,0.9666,0.7314,0.8398,0.6183
582,0.9663,0.7359,0.8398,0.6439
583,0.9646,0.7102,0.8398,0.6034
584,0.9675,0.7064,0.8398,0.6265
585,0.9691,0.7328,0.8398,0.6206
586,0.9690,0.7177,0.8398,0.6262
587,0.9656,0.7334,0.8398,0.6560
588,0.9644,0.7045,0.8398,0.6362
589,0.9661,0.7083,0.8398,0.6222
590,0.9639,0.7156,0.8398,0.6120
591,0.9659,0.7028,0.8398,0.6167
592,0.9655,0.7364,0.8398,0.6118
593,0.9696,0.7328,0.8398,0.6202
594,0.9667,0.7251,0.8398,0.6421
595,0.9647,0.7223,0.8398,0.6137
596,0.9674,0.7256,0.8398,0.6224
597,0.9635,0.7307,0.8398,0.6226
598,0.9673,0.7382,0.8398,0.6437
599,0.9636,0.7041,0.8398,0.6009
600,0.9597,0.7148,0.8398,0.6303
601,0.9690,0.7201,0.8398,0.6224
602,0.9668,0.7069,0.8398,0.6320
603,0.9603,0.6996,0.8398,0.6211
604,0.9665,0.7076,0.8398,0.6275
605,0.9695,0.7243,0.8398,0.6393
606,0.9602,0.7257,0.8398,0.6514
607,0.9672,0.7132,0.8398,0.6044
608,0.9620,0.7164,0.8398,0.6366
609,0.9670,0.7026,0.8398,0.6235
610,0.9689,0.7073,0.8398,0.6056
611,0.9635,0.7356,0.8398,0.6487
612,0.9646,0.7398,0.8398,0.6462
613,0.9590,0.7283,0.8398,0.6478
614,0.9653,0.7093,0.8398,0.6322
615,0.9640,0.7254,0.8398,0.6313
616,0.9684,0.7162,0.8398,0.6274
617,0.9629,0.7134,0.8398,0.6251
618,0.9654,0.7195,0.8398,0.6109
619,0.9633,0.7063,0.8398,0.5942
620,0.9621,0.7065,0.8398,0.6099
621,0.9646,0.7299,0.8398,0.6560
622,0.9677,0.6966,0.8398,0.6180
623,0.9694,0.7149,0.8398,0.6153
624,0.9636,0.7101,0.8398,0.6231
625,0.9628,0.7256,0.8398,0.6436
626,0.9644,0.7251,0.8398,0.6210
627,0.9669,0.7473,0.8398,0.6119
